,text,text_clean
6281,Intinya... Elite semua berada pada lingkaran yg sama...! Itulah indonesia,intinya elite semua berada pada lingkaran yg sama itulah indonesia
6282,#savemeratus dari tambang,savemeratus dari tambang
6283,Tak ada pilihan,tak ada pilihan
6284,apakah masih ada pemimpin yang jujur dan berpihak pada rakyat?,apakah masih ada pemimpin yang jujur dan berpihak pada rakyat
6285,film ini mengisahkan semua aspek dalam kehidupan sehari-hari yang real dari masyarakat kota maupun desa,film ini mengisahkan semua aspek dalam kehidupan seharihari yang real dari masyarakat kota maupun desa
6286,"Kunci nya satu sih. Warga dan Masyarakat harus mengurangi penggunaan Listrik dan cari cara lain yg Go Green selain Listrik. Ga gampang, Sulit di laksanakan.",kunci nya satu sih warga dan masyarakat harus mengurangi penggunaan listrik dan cari cara lain yg go green selain listrik ga gampang sulit di laksanakan
6287,Apresiasi tertinggi kami untuk karya anak bangsa yang mengangkat nilai kemanusiaan dan lingkungan indonesia yang rusak jauh lebih dalam Ã°Å¸â„¢ÂÃ°Å¸â€˜Â,apresiasi tertinggi kami untuk karya anak bangsa yang mengangkat nilai kemanusiaan dan lingkungan indonesia yang rusak jauh lebih dalam
6288,Saya hanya bisa menangis dan berdo'a bagi para korban. Alloh tidak tidur. akan ada pertanggung jawabban kelak di akhirat. baik untuk korban ataupun pelaku. tidak akan ada yang luput satu pun. itu pasti.,saya hanya bisa menangis dan berdoa bagi para korban alloh tidak tidur akan ada pertanggung jawabban kelak di akhirat baik untuk korban ataupun pelaku tidak akan ada yang luput satu pun itu pasti
6289,Astaghfirullah...,astaghfirullah
6290,"Dan pada akhir nya , Energy Listrik meningkat/berlebih sementara manusia/penggunanya menurun dan mungkin akan habis :D.
  yang jadi pertanyaannya : "" Untuk apa Energy besar tersebut !?"" 
  Klo aku jujur nggak ngerti :v",dan pada akhir nya energy listrik meningkatberlebih sementara manusiapenggunanya menurun dan mungkin akan habis d yang jadi pertanyaannya untuk apa energy besar tersebut klo aku jujur nggak ngerti v
6291,Kenapa tidak di adakan petisi sajaa?,kenapa tidak di adakan petisi sajaa
6292,"Ya Tuhan merinding liat ibu2 liat tanahnya blm dijual tapi udah ditempati. Kek gini yg dimaksud pembangunan merata, yg bikin rakyatnya makmur?
  Coba difikirkan lagi :)",ya tuhan merinding liat ibu liat tanahnya blm dijual tapi udah ditempati kek gini yg dimaksud pembangunan merata yg bikin rakyatnya makmur coba difikirkan lagi
6293,Gila!!!! Itu dulunya hutan jd Padang pasir + kubangan air.... Aduh miris KL yg menghancurkan lingkungan itu bangsa sendiri cm demi uang n kekuasaan kaum2 elitnya... Negara2 di timur tengah sedang berlomba lomba membuat hutan dipasang pasir tp disini berlomba lomba merusak hutannya utk dikeruk tambangnya... Tidak heran jmn now didesa2 hujan dikit langsung banjir bandang pdhl jmn dulu banjir hanya milik kota besar sj,gila itu dulunya hutan jd padang pasir kubangan air aduh miris kl yg menghancurkan lingkungan itu bangsa sendiri cm demi uang n kekuasaan kaum elitnya negara di timur tengah sedang berlomba lomba membuat hutan dipasang pasir tp disini berlomba lomba merusak hutannya utk dikeruk tambangnya tidak heran jmn now didesa hujan dikit langsung banjir bandang pdhl jmn dulu banjir hanya milik kota besar sj
6294,36:37 berasa di jajah kembali DEMI SEBUAH KEPENTINGAN SEMUA DI LINDAS,berasa di jajah kembali demi sebuah kepentingan semua di lindas
6295,respon dari pemprov Kaltim luar biasa memang,respon dari pemprov kaltim luar biasa memang
6296,Indonesia ku lucu. sampai* orang yg gak mau jual tanah aja dipenjara,indonesia ku lucu sampai orang yg gak mau jual tanah aja dipenjara
6297,"42:10
  Perbdaan yg bnyak uang dgn yg tidak trllu mmlki uang Ã°Å¸ËœÂ­",perbdaan yg bnyak uang dgn yg tidak trllu mmlki uang
6298,"Itulah kenapa gue golput. Film tsb menggambarkan apa yg ada di benak gue dan bahkan sebelum gue nonton film nya. Satu lagi, usia gue sekarang36th dan gue golput sejak pertama punya KTP....",itulah kenapa gue golput film tsb menggambarkan apa yg ada di benak gue dan bahkan sebelum gue nonton film nya satu lagi usia gue sekarangth dan gue golput sejak pertama punya ktp
6299,15:35 mending lu aja mati d kolam tambang :),mending lu aja mati d kolam tambang
6300,"Sedih banget liat video ini,perusahaan tambang nggak respek banget sama warga sekitar,lokasi dirusak nggak ada pertanggung jawabannya",sedih banget liat video iniperusahaan tambang nggak respek banget sama warga sekitarlokasi dirusak nggak ada pertanggung jawabannya
6301,"gak papa orang demo aja kok - jokowi 
  
  iya kau gak mikir kau gak ngerasain apa yang mereka rasain kau enak ayun ayun kaki sementara rakyat yang menanggung kesengsaraan semu ini",gak papa orang demo aja kok jokowi iya kau gak mikir kau gak ngerasain apa yang mereka rasain kau enak ayun ayun kaki sementara rakyat yang menanggung kesengsaraan semu ini
6302,This is Indonesia negara setengah hati.. ada uang semua bisa diatur,this is indonesia negara setengah hati ada uang semua bisa diatur
6303,"*Mau menyalahkan tapi sama siapa Semua sudah terjadi. Ingin membangun negara butuh ini itu. Mau berkembang ya harus berkorban dan bermodal. Para kapital ingin mencari duit. Negara butuh kapitalis untuk mengembangkan negara. Rakyat sekitar permukiman terkena imbasnya. Salah siapa?. Sampai Kiamat kita akan terus berkembang, berubah, membangun*",mau menyalahkan tapi sama siapa semua sudah terjadi ingin membangun negara butuh ini itu mau berkembang ya harus berkorban dan bermodal para kapital ingin mencari duit negara butuh kapitalis untuk mengembangkan negara rakyat sekitar permukiman terkena imbasnya salah siapa sampai kiamat kita akan terus berkembang berubah membangun
6304,"Thn...ini di bngkulu berdampingan dengan dermaga p.baai lagi d bangun PLTU......?????
  Ttap waspada utk wrga d sekitar....",thnini di bngkulu berdampingan dengan dermaga pbaai lagi d bangun pltu ttap waspada utk wrga d sekitar
6305,Itu gubernur bangsatÃ°Å¸â€“â€¢Ã°Å¸â€˜Å,itu gubernur bangsat
6306,"Di daerah kukar yang kaya makin kaya yang miskin makin melarat,kita dulu yang punya ladang atau lahan di area yang saat ini jadi tambang kita tidak bisa berbuat banyak karna kita kalah dengan pemimpin"" desa atau yang memiliki wewenang"" yang memberi ijin tambang sedangkan kita yang sepenuhnya memiliki hak sepenuhnya lahan kita tidak bisa berbuat apa"",tidak ada ganti rugi hanya janji"" yg selalu saya dengar. Rakyat kecil selalu di pandang sebelah mata,pak buk para pendengar suara rakyat yang lagi duduk santai sambil ACan tolonglah di dengar sekaligus di serap keluh kesah kami",di daerah kukar yang kaya makin kaya yang miskin makin melaratkita dulu yang punya ladang atau lahan di area yang saat ini jadi tambang kita tidak bisa berbuat banyak karna kita kalah dengan pemimpin desa atau yang memiliki wewenang yang memberi ijin tambang sedangkan kita yang sepenuhnya memiliki hak sepenuhnya lahan kita tidak bisa berbuat apatidak ada ganti rugi hanya janji yg selalu saya dengar rakyat kecil selalu di pandang sebelah matapak buk para pendengar suara rakyat yang lagi duduk santai sambil acan tolonglah di dengar sekaligus di serap keluh kesah kami
6307,"Sya baru paham ternyata pernyataan tdk sesuai niat.
  Skarang rakyat kecil percuma protes dan buang suara, masyarakat kecil tak punya hak sama sekali.
  Memang benar kita akan dipimpin oleh pemimpin2 yg zholim. Sebelum datang imam mahdi.
  Jadi percuma kita sebagai rakyat kecil protes.",sya baru paham ternyata pernyataan tdk sesuai niat skarang rakyat kecil percuma protes dan buang suara masyarakat kecil tak punya hak sama sekali memang benar kita akan dipimpin oleh pemimpin yg zholim sebelum datang imam mahdi jadi percuma kita sebagai rakyat kecil protes
6308,"Klo dilihat dari skala luas...qt demo tambang batu bara, demo pltu...ke pemerintah....tetapi yg jd ironi...Orang2 yg ada dipemerintah sendiri yg mempunyai tambang tsb....yah sia 2 z kan... pasti ada konflik kepentingan dsn...",klo dilihat dari skala luasqt demo tambang batu bara demo pltuke pemerintahtetapi yg jd ironiorang yg ada dipemerintah sendiri yg mempunyai tambang tsbyah sia z kan pasti ada konflik kepentingan dsn
6309,"Menurutku. Kedua kubu sama. Namun
  Ketika kita pilih 02. Harapan kita di siapa.?? Krn kesalahan ada tangan mereka sendiri.
  Jika pilih 01. Kita masih punya 1 harapan. Krn kesalahan ada di orang yg di belakangnya.
  1 harapan yg walaupun sangat minim. Setidaknya kita bisa tersenyum walaupun tidak bisa tertawa lepas.",menurutku kedua kubu sama namun ketika kita pilih harapan kita di siapa krn kesalahan ada tangan mereka sendiri jika pilih kita masih punya harapan krn kesalahan ada di orang yg di belakangnya harapan yg walaupun sangat minim setidaknya kita bisa tersenyum walaupun tidak bisa tertawa lepas
6310,terkejut dengan jawaban gubernur Kalimantan timur,terkejut dengan jawaban gubernur kalimantan timur
6311,Mandi mandi hantu #trending,mandi mandi hantu trending
6312,Coba bang bikin video tentang pekerja asing yg masuk indonesia,coba bang bikin video tentang pekerja asing yg masuk indonesia
6313,Kasihan gx ada otak,kasihan gx ada otak
6314,Sumpah film ini harus di tayangkan di televisi indonesia...saya sampai nangis liat film ini,sumpah film ini harus di tayangkan di televisi indonesiasaya sampai nangis liat film ini
6315,"kok gak trending yaa, tgl 24 Rabu sudah 19.247.595 kali ditonton",kok gak trending yaa tgl rabu sudah kali ditonton
6316,*22 April kemaren adalah Earth International Day*,april kemaren adalah earth international day
6317,Wah ternyata komisaris sedang menyamar jadi pedagang pisang dan kopi.,wah ternyata komisaris sedang menyamar jadi pedagang pisang dan kopi
6318,Tambang batu bara Lebih banyak mudarat daripada manfaat,tambang batu bara lebih banyak mudarat daripada manfaat
6319,"Kenapa menggunakan PLTU jika mengorbankan gunung2.
  Kenapa gak membangun PLTS/PLTA.
  Why gitu?
  Padahal sudah ada teknologi yang lebih maju, tapi masih menggunakan batu bara.",kenapa menggunakan pltu jika mengorbankan gunung kenapa gak membangun pltsplta why gitu padahal sudah ada teknologi yang lebih maju tapi masih menggunakan batu bara
6320,"Btw sebagai masyarakat sekarang saya tahu siapa mereka. Katanya kita MERDEKA tapi kita masih di rakyat masih di jajah oleh PEMERINTAH dan oknum lainnya. Waktunya dibersihkan Dan kembali hijau lagi. Mata najwa, ilc Dan channel TV nasional gimana untuk kasus seperti ini, berani di angkat ke permukaan masyarakat?",btw sebagai masyarakat sekarang saya tahu siapa mereka katanya kita merdeka tapi kita masih di rakyat masih di jajah oleh pemerintah dan oknum lainnya waktunya dibersihkan dan kembali hijau lagi mata najwa ilc dan channel tv nasional gimana untuk kasus seperti ini berani di angkat ke permukaan masyarakat
6321,ini yang perlu diperhatikan harus ada AMDAL disetiap pembukaan tambang dan apapun itu...,ini yang perlu diperhatikan harus ada amdal disetiap pembukaan tambang dan apapun itu
6322,"Inilah negeri kita tercinta yang indah 
  Tapi tidak untuk kini semua Rusak dan berbahaya semakin banyak orang pintar tapi tak punya akal, harus kah rakyat kecil yang menderita sedangkan kalian yang berdasi selalu tertawa.",inilah negeri kita tercinta yang indah tapi tidak untuk kini semua rusak dan berbahaya semakin banyak orang pintar tapi tak punya akal harus kah rakyat kecil yang menderita sedangkan kalian yang berdasi selalu tertawa
6323,"Orang-orang miskin di jalan,
  yang tinggal di dalam selokan,
  yang kalah di dalam pergulatan,
  yang diledek oleh impian,
  janganlah mereka ditinggalkan.
  
  Angin membawa bau baju mereka.
  Rambut mereka melekat di bulan purnama.
  Wanita-wanita bunting berbaris di cakrawala,
  mengandung buah jalan raya.
  
  Orang-orang miskin. Orang-orang berdosa.
  Bayi gelap dalam batin. Rumput dan lumut jalan raya.
  Tak bisa kamu abaikan.
  
  Bila kamu remehkan mereka,
  di jalan kamu akan diburu bayangan.
  Tidurmu akan penuh igauan,
  dan bahasa anak-anakmu sukar kamu terka.
  
  Jangan kamu bilang negara ini kaya
  karena orang-orang berkembang di kota dan di desa.
  Jangan kamu bilang dirimu kaya
  bila tetanggamu memakan bangkai kucingnya.
  Lambang negara ini mestinya trompah dan blacu.
  Dan perlu diusulkan
  agar ketemu presiden tak perlu berdasi seperti Belanda.
  Dan tentara di jalan jangan bebas memukul mahasiswa.
  
  Orang-orang miskin di jalan
  masuk ke dalam tidur malammu.
  Perempuan-perempuan bunga raya
  menyuapi putra-putramu.
  Tangan-tangan kotor dari jalanan
  meraba-raba kaca jendelamu.
  Mereka tak bisa kamu biarkan.
  
  Jumlah mereka tak bisa kamu mistik menjadi nol.
  Mereka akan menjadi pertanyaan
  yang mencegat ideologimu.
  Gigi mereka yang kuning
  akan meringis di muka agamamu.
  Kuman-kuman sipilis dan tbc dari gang-gang gelap
  akan hinggap di gorden presidenan
  dan buku programma gedung kesenian.
  
  Orang-orang miskin berbaris sepanjang sejarah,
  bagai udara panas yang selalu ada,
  bagai gerimis yang selalu membayang.
  Orang-orang miskin mengangkat pisau-pisau
  tertuju ke dada kita,
  atau ke dada mereka sendiri.
  O, kenangkanlah :
  orang-orang miskin
  
  juga berasal dari kemah Ibrahim
  #wsrendra",orangorang miskin di jalan yang tinggal di dalam selokan yang kalah di dalam pergulatan yang diledek oleh impian janganlah mereka ditinggalkan angin membawa bau baju mereka rambut mereka melekat di bulan purnama wanitawanita bunting berbaris di cakrawala mengandung buah jalan raya orangorang miskin orangorang berdosa bayi gelap dalam batin rumput dan lumut jalan raya tak bisa kamu abaikan bila kamu remehkan mereka di jalan kamu akan diburu bayangan tidurmu akan penuh igauan dan bahasa anakanakmu sukar kamu terka jangan kamu bilang negara ini kaya karena orangorang berkembang di kota dan di desa jangan kamu bilang dirimu kaya bila tetanggamu memakan bangkai kucingnya lambang negara ini mestinya trompah dan blacu dan perlu diusulkan agar ketemu presiden tak perlu berdasi seperti belanda dan tentara di jalan jangan bebas memukul mahasiswa orangorang miskin di jalan masuk ke dalam tidur malammu perempuanperempuan bunga raya menyuapi putraputramu tangantangan kotor dari jalanan merabaraba kaca jendelamu mereka tak bisa kamu biarkan jumlah mereka tak bisa kamu mistik menjadi nol mereka akan menjadi pertanyaan yang mencegat ideologimu gigi mereka yang kuning akan meringis di muka agamamu kumankuman sipilis dan tbc dari ganggang gelap akan hinggap di gorden presidenan dan buku programma gedung kesenian orangorang miskin berbaris sepanjang sejarah bagai udara panas yang selalu ada bagai gerimis yang selalu membayang orangorang miskin mengangkat pisaupisau tertuju ke dada kita atau ke dada mereka sendiri o kenangkanlah orangorang miskin juga berasal dari kemah ibrahim wsrendra
6324,"Jokuwi. Sekolah terus biar pinter.
  Yang bener jangan jadi pinter.
  Jadilah orang yang benar dan jujur.
  Pinter kalo bangsat buat apa.
  Buat minterin rakyat nya gitu ??",jokuwi sekolah terus biar pinter yang bener jangan jadi pinter jadilah orang yang benar dan jujur pinter kalo bangsat buat apa buat minterin rakyat nya gitu
6325,Kok gak trending yah..??apakah ada sesuatu yg coba untuk d sembuyikan..?ada apa youtube?? Ada apa dengan alogaritma youtube..? Kalau treding kan makin banyak yg nonton dan makin banyak membuat orang sadar dan pentingnya peduli dan menjaga lingkungan,kok gak trending yahapakah ada sesuatu yg coba untuk d sembuyikanada apa youtube ada apa dengan alogaritma youtube kalau treding kan makin banyak yg nonton dan makin banyak membuat orang sadar dan pentingnya peduli dan menjaga lingkungan
6326,kok gw kesel pada gubernurnye yak..,kok gw kesel pada gubernurnye yak
6327,"Terima kasih,film ini membantu banyak orang membuka mata & hati dengan realita apa yang terjadi konsekuensi dari suatu perubahan
  Yok kita share k orangÃ¢â‚¬Â lain supaya makin banyak orang yang tau dan tersadarkan sehingga ada solusi atau perbaikan untuk problem ini Ã°Å¸â„¢Â",terima kasihfilm ini membantu banyak orang membuka mata hati dengan realita apa yang terjadi konsekuensi dari suatu perubahan yok kita share k orang lain supaya makin banyak orang yang tau dan tersadarkan sehingga ada solusi atau perbaikan untuk problem ini
6328,Sekarang bossdarling bikin film ini,sekarang bossdarling bikin film ini
6329,"Dalam kitab disebutkan, mengapa kau berbuat kerusakan di bumi? kemudian mereka menjawab tidak, justru kami melakukan perbaikan. Sekali-kali tidak! merekalah yg berbuat kerusakan!
  kita semua kelak akan menjadi saksi bagaimana pertanggung jawaban mereka dihadapan Tuhannya.",dalam kitab disebutkan mengapa kau berbuat kerusakan di bumi kemudian mereka menjawab tidak justru kami melakukan perbaikan sekalikali tidak merekalah yg berbuat kerusakan kita semua kelak akan menjadi saksi bagaimana pertanggung jawaban mereka dihadapan tuhannya
6330,Tinggal nunggu kehancuran doang ini mah kalo pemerintah masih mencla mencle plonga plongo,tinggal nunggu kehancuran doang ini mah kalo pemerintah masih mencla mencle plonga plongo
6331,seperti lingkaran setan,seperti lingkaran setan
6332,Ohh Pak Sandiaga udh jual semua sahamnya..... Alhamdulillah gak salah pilih Ã¢Å“Å’Ã°Å¸ÂÂ»Ã°Å¸â€™â€º,ohh pak sandiaga udh jual semua sahamnya alhamdulillah gak salah pilih
6333,"Alhamdulillah anda bisa membuat film ini dengan kamera anda ... Ntah dengan energi apa kamera anda beroperasi saya tidak tau, tapi Alhamdulillah saya bisa lebih memaknai hidup itu memang beragam dan sangat komplexs ....",alhamdulillah anda bisa membuat film ini dengan kamera anda ntah dengan energi apa kamera anda beroperasi saya tidak tau tapi alhamdulillah saya bisa lebih memaknai hidup itu memang beragam dan sangat komplexs
6334,Sukses dan sehat selalu buat yg bikin ni film.... Luar biasa... Keren dah...,sukses dan sehat selalu buat yg bikin ni film luar biasa keren dah
6335,"Siapapun Presidennya, never change anything...kalau masih ikutin aturan main Dunia skr.",siapapun presidennya never change anythingkalau masih ikutin aturan main dunia skr
6336,Content yg sgt baik jadi membuka mata masyarakat Indonesia tentang pengrusakan alam dan kerugian rakyat kecil dari kegiatan usaha para petinggi2 negeri ini,content yg sgt baik jadi membuka mata masyarakat indonesia tentang pengrusakan alam dan kerugian rakyat kecil dari kegiatan usaha para petinggi negeri ini
6337,Kesimpulannya dalam menghadapi org2 politik jgn baper.. pada dasarnya sama aja... hancur dah....,kesimpulannya dalam menghadapi org politik jgn baper pada dasarnya sama aja hancur dah
6338,kenapa negara di tukangi pemimpin besar hanya untuk kepentingan dirinya,kenapa negara di tukangi pemimpin besar hanya untuk kepentingan dirinya
6339,Harusnya ini tayang di tv nasional..,harusnya ini tayang di tv nasional
6340,"Ini lah mengapa dlm UUD 45 djelaskan...sgl sesuatu y mnyangkut hajat hidup org bny harus d kuasai negara u kepentingan rakyat....bukan d miliki pribadi sprti ini...tp UUD 45 hny tgl skdr UUD 45.....sprti slogan sy indonesia sy pancasila....hny skdr kata"" smata....",ini lah mengapa dlm uud djelaskansgl sesuatu y mnyangkut hajat hidup org bny harus d kuasai negara u kepentingan rakyatbukan d miliki pribadi sprti initp uud hny tgl skdr uud sprti slogan sy indonesia sy pancasilahny skdr kata smata
6341,terimakasih watch doc telah menyuarakan kebenaran,terimakasih watch doc telah menyuarakan kebenaran
6342,"indonesia ini terlalu luas untuk dipimpin satu orang, harusnya ini negara dibagi dua",indonesia ini terlalu luas untuk dipimpin satu orang harusnya ini negara dibagi dua
6343,"Apa apaan ini.
  Apa masih dibutuhkan seorang pemimpin di negara ini...?",apa apaan ini apa masih dibutuhkan seorang pemimpin di negara ini
6344,Koq sederhana betul jawaban nya gubernur nya,koq sederhana betul jawaban nya gubernur nya
6345,"Mat Juri adalah singkatan dari Mat Solar dan Bajai Bajuri, RIP Mat Solar, RIP Bang Juri.",mat juri adalah singkatan dari mat solar dan bajai bajuri rip mat solar rip bang juri
6346,Nabi mengajarkan Hijrah.,nabi mengajarkan hijrah
6347,Anehnya kok ga trending,anehnya kok ga trending
6348,"ini kayak nonton sinetron orang ke tiga. para penonton kesel mendukung yuni atau mendukung afifa. sedangkan pemain sinteron di bayar mahal untuk akting, habis shooting makan bareng dan tertawa bersama. para penonton tetep musuhan karena fans garis keras para aktor sinetron.",ini kayak nonton sinetron orang ke tiga para penonton kesel mendukung yuni atau mendukung afifa sedangkan pemain sinteron di bayar mahal untuk akting habis shooting makan bareng dan tertawa bersama para penonton tetep musuhan karena fans garis keras para aktor sinetron
6349,"Saluttt sumpah bagus banget, bikin kita tau gimana sejarah"" nya cawapres. Dan merubah pandangan kita",saluttt sumpah bagus banget bikin kita tau gimana sejarah nya cawapres dan merubah pandangan kita
6350,Kenapa ya nonton vidio ini perih rasa hati,kenapa ya nonton vidio ini perih rasa hati
6351,Ini membukakan mata bahwa hidup penuh perjuangan,ini membukakan mata bahwa hidup penuh perjuangan
6352,kenyataan pahit yg harus di terima manusia demi menuju masa depan yg serba modern adalah kehancuran bumi .,kenyataan pahit yg harus di terima manusia demi menuju masa depan yg serba modern adalah kehancuran bumi
6353,"Kenapa kamu jahat 
  kenapa kamu jahat dengan masyarakat 
  dengan rakyat 
  Musibah apa yang kamu alami seberat apa beban kehidupanmu engkau kaya kamu memiliki uang banyak bisa menjadi pejabat alasan apa kau jahat 
  Kenapa kalian jahat ??????",kenapa kamu jahat kenapa kamu jahat dengan masyarakat dengan rakyat musibah apa yang kamu alami seberat apa beban kehidupanmu engkau kaya kamu memiliki uang banyak bisa menjadi pejabat alasan apa kau jahat kenapa kalian jahat
6354,"Sedih melihat bumi pertiwi seperti ini,",sedih melihat bumi pertiwi seperti ini
6355,"Min kenapa sisi negatifnya doang yang di documentary,biar fair masukin juga dong sisi positif nya.",min kenapa sisi negatifnya doang yang di documentarybiar fair masukin juga dong sisi positif nya
6356,buat tmn2 smwa.. tolong sebar lg video ini. kalo msh ada yg ngmng cebong/kampret tolong copas aja link ini suruh nntn smpe habis,buat tmn smwa tolong sebar lg video ini kalo msh ada yg ngmng cebongkampret tolong copas aja link ini suruh nntn smpe habis
6357,Kontol gubernur nya cok,kontol gubernur nya cok
6358,"cepat atau lambat akan kalian rasakan pembalasannya, sangat-sangat mendzalimi orang lain.",cepat atau lambat akan kalian rasakan pembalasannya sangatsangat mendzalimi orang lain
6359,Negara kita masih terjajah. Kita terjajah oleh orang2 kapitalis. Semoga pemimpin yg baru kita nanti bisa membebaskan negri ini dari kaum kapitalis.,negara kita masih terjajah kita terjajah oleh orang kapitalis semoga pemimpin yg baru kita nanti bisa membebaskan negri ini dari kaum kapitalis
6360,1:05:57 Ã°Å¸Ëœâ€š penyebab hampir golput,penyebab hampir golput
6361,Sekarang yg masih berpolemik adalah tumpang pitu tambang emas di pulau merah banyuwangi. Rakyat disana ...aktivis disana dibungkam. Bersuara mati... Diam hidup makmur.,sekarang yg masih berpolemik adalah tumpang pitu tambang emas di pulau merah banyuwangi rakyat disana aktivis disana dibungkam bersuara mati diam hidup makmur
6362,Baru tau setelah lihat video ini? Kemana aja anda selama ini.,baru tau setelah lihat video ini kemana aja anda selama ini
6363,Lihat pengeboran PT Lapindo. Kebetulan saya tinggal tetanggan sama desa di porong. Bagaimana penguasa sampai sekarang bebas lepas dari jerat hukum. Berapa banyak harta benda tenggelam dalam panasnya lumpur lapindo. Itu adalah ulah generasi sebelum milineal ada.,lihat pengeboran pt lapindo kebetulan saya tinggal tetanggan sama desa di porong bagaimana penguasa sampai sekarang bebas lepas dari jerat hukum berapa banyak harta benda tenggelam dalam panasnya lumpur lapindo itu adalah ulah generasi sebelum milineal ada
6364,"Film Yang sangat bagus. Pemerintah Wajib menanggapi dengan sangat serius !!!
  
  Salut Dan terima kasih buat Tim Yang membuat film INI",film yang sangat bagus pemerintah wajib menanggapi dengan sangat serius salut dan terima kasih buat tim yang membuat film ini
6365,"Wow,,,moga ada perbaikan,,harus,,amin yrb,,,",wowmoga ada perbaikanharusamin yrb
6366,Mati itu takdir!!,mati itu takdir
6367,LINGKARAN SETAN PARA PENGUASA dan yang dislike pasti masuk di dalam nya. mantap.. informasi yg berharga.. salam,lingkaran setan para penguasa dan yang dislike pasti masuk di dalam nya mantap informasi yg berharga salam
6368,Baru tahunya generasi milineal. Saya hidup diera orba... Mulut kami diberangus suara kami dibungkam. Enak kalian sekarang bisa bersuara. Bahkan menghina presidenpun bisa lepas dari jeratan hukum. Selama 32 tahun bumi pertiwi itu diperkosa. Era reformasilah yg membebaskan pemerkosaan itu dari era orba. Sekarang lihatlah hasilnya ini ulah generasi sebelum kalian.,baru tahunya generasi milineal saya hidup diera orba mulut kami diberangus suara kami dibungkam enak kalian sekarang bisa bersuara bahkan menghina presidenpun bisa lepas dari jeratan hukum selama tahun bumi pertiwi itu diperkosa era reformasilah yg membebaskan pemerkosaan itu dari era orba sekarang lihatlah hasilnya ini ulah generasi sebelum kalian
6369,"Berfikir lebih logis setelah nonton video full disambi jaga malam, ya allah jadikanlah indonesiaku negeri yang konon katanya makmur Ã°Å¸â€¡Â²Ã°Å¸â€¡Â¨Ã°Å¸â€¡Â²Ã°Å¸â€¡Â¨Ã°Å¸â€¡Â²Ã°Å¸â€¡Â¨",berfikir lebih logis setelah nonton video full disambi jaga malam ya allah jadikanlah indonesiaku negeri yang konon katanya makmur
6370,jadi tahu .... pemimpin kita bukan pro rakyat tp pro bisnis,jadi tahu pemimpin kita bukan pro rakyat tp pro bisnis
6371,mencerdaskan ini vidio,mencerdaskan ini vidio
6372,Apa pun cerita dalam film aku gampang terhypnosis .. yg penting kedepannya ngg import sarden ngga import tenaga kerja... ulama tidak dikriminalisasi,apa pun cerita dalam film aku gampang terhypnosis yg penting kedepannya ngg import sarden ngga import tenaga kerja ulama tidak dikriminalisasi
6373,Pak prof ROCKY GERUNG Mana suara nya!!! ni kedunguan yang hakiki pak!!!,pak prof rocky gerung mana suara nya ni kedunguan yang hakiki pak
6374,Anjing gua jadi penjahat pilih pemerintah gua kapok gua kira ga kaya gini anjing lah sedih banget gua lihatnya,anjing gua jadi penjahat pilih pemerintah gua kapok gua kira ga kaya gini anjing lah sedih banget gua lihatnya
6375,Semoga warga yang merasa tidak adil akan kewenangan pemerintah dilancarkan terus rezekinya dan diberkahi kesehatan yang terus menerus. Semoga secepatnya segala urusan dimudahkan dan dilancarkanÃ°Å¸â„¢Â,semoga warga yang merasa tidak adil akan kewenangan pemerintah dilancarkan terus rezekinya dan diberkahi kesehatan yang terus menerus semoga secepatnya segala urusan dimudahkan dan dilancarkan
6376,Mengerikan...,mengerikan
6377,Bangsat Gubernurnya dan pemilik perusahaan,bangsat gubernurnya dan pemilik perusahaan
6378,Yg dislike siapa nih,yg dislike siapa nih
6379,Kada uang bisa menutup hati seseorang Ã°Å¸â„¢Â,kada uang bisa menutup hati seseorang
6380,Terima kasih ada film ini. menyadarkan kita semua. penjajah kita adalah perilaku kita juga yang mau menghisap bumi pertiwi untuk kepentingannya sendiri. tksh yang sudah membuat film ini,terima kasih ada film ini menyadarkan kita semua penjajah kita adalah perilaku kita juga yang mau menghisap bumi pertiwi untuk kepentingannya sendiri tksh yang sudah membuat film ini
6381,Baru baca berita..KPK tangkap Dirut PLN..suap PLTU Riau 1..,baru baca beritakpk tangkap dirut plnsuap pltu riau
6382,"ada istilah tidak perlu kaya untuk bahagia, karena kekayaan merugikan orang miskin,tapi kebahagiaan akan membawa kedamaian untuk orang lain. sebenarnya banyak cara lain untuk memenuhi kebutuhan hidup tanpa mengorbankan orang lain, tapi sebagian manusia memang tamak akan gengsinya.",ada istilah tidak perlu kaya untuk bahagia karena kekayaan merugikan orang miskintapi kebahagiaan akan membawa kedamaian untuk orang lain sebenarnya banyak cara lain untuk memenuhi kebutuhan hidup tanpa mengorbankan orang lain tapi sebagian manusia memang tamak akan gengsinya
6383,"Tegakkan syariah dan khilafah, wallaahi listrik dan air gratis, hilangkan batas batas nasionalisme",tegakkan syariah dan khilafah wallaahi listrik dan air gratis hilangkan batas batas nasionalisme
6384,Dua presiden gak ada solusi tentang hal ini,dua presiden gak ada solusi tentang hal ini
6385,Pemikirannya tak sedalam bekas tambang,pemikirannya tak sedalam bekas tambang
